,Area of Impact,Case Number,Event Number,Standard of Evenidence,Vehicle 1,Vehicle 2
2,Non-Collision,60624,3,Fire/Explosion,1,9999
3,Non-Collision,60624,4,Rollover/Overturn,1,9999
0,Non-Harmful Event,60626,1,Ran Off Roadway - Right,1,5555
1,Non-Collision,60626,2,Rollover/Overturn,1,9999
0,Unknown,60629,1,Pedestrian,1,9999
0,Non-Harmful Event,60631,1,Ran Off Roadway - Right,1,9999
1,9 Clock Point,60631,2,Utility Pole/Light Support,1,9999
0,12 Clock Point,60636,1,Pedestrian,1,9999
0,12 Clock Point,60636,1,Pedestrian,1,9999
0,12 Clock Point,60636,1,Pedestrian,1,9999
0,Non-Harmful Event,60637,1,Ran Off Roadway - Right,1,9999
1,Non-Harmful Event,60637,2,Re-entering Roadway,1,9999
2,Non-Harmful Event,60637,3,Cross Centerline,1,9999
3,12 Clock Point,60637,4,Motor Vehicle In-Transport ,2,1
0,Non-Harmful Event,60637,1,Ran Off Roadway - Right,1,9999
1,Non-Harmful Event,60637,2,Re-entering Roadway,1,9999
2,Non-Harmful Event,60637,3,Cross Centerline,1,9999
3,12 Clock Point,60637,4,Motor Vehicle In-Transport ,2,1
0,Non-Harmful Event,60639,1,Ran Off Roadway - Left,1,5555
1,Non-Harmful Event,60639,2,Re-entering Roadway,1,5555
2,Non-Harmful Event,60639,3,Ran Off Roadway - Right,1,5555
3,Undercarriage,60639,4,Curb,1,9999
4,Not Reported,60639,5,"Other Post, Other Pole or Other Supports",1,9999
5,Not Reported,60639,6,Fence,1,9999
6,Non-Collision,60639,7,Rollover/Overturn,1,9999
7,Not Reported,60639,8,Shrubbery,1,9999
0,Non-Harmful Event,60641,1,Cross Centerline,1,5555
1,Non-Collision,60641,2,Rollover/Overturn,1,9999
2,Other Objects Set-In-Motion,60641,3,"Motor Vehicle In-Transport Strikes or is Struck by Cargo, Persons or Objects Set-in-Motion from/by Another Motor Vehicle In Transport",1,2
0,Non-Harmful Event,60641,1,Cross Centerline,1,5555
1,Non-Collision,60641,2,Rollover/Overturn,1,9999
2,Other Objects Set-In-Motion,60641,3,"Motor Vehicle In-Transport Strikes or is Struck by Cargo, Persons or Objects Set-in-Motion from/by Another Motor Vehicle In Transport",1,2
0,12 Clock Point,60647,1,Motor Vehicle In-Transport ,4,1
1,12 Clock Point,60647,2,Motor Vehicle In-Transport ,2,4
2,12 Clock Point,60647,3,Motor Vehicle In-Transport ,3,2
0,12 Clock Point,60647,1,Motor Vehicle In-Transport ,4,1
1,12 Clock Point,60647,2,Motor Vehicle In-Transport ,2,4
2,12 Clock Point,60647,3,Motor Vehicle In-Transport ,3,2
0,12 Clock Point,60650,1,Pedestrian,1,9999
0,Non-Harmful Event,60652,1,Cross Centerline,1,5555
1,12 Clock Point,60652,2,Motor Vehicle In-Transport ,1,2
2,Non-Harmful Event,60652,3,Ran Off Roadway - Right,2,5555
3,5 Clock Point,60652,4,Parked Motor Vehicle ,2,3
4,Non-Collision,60652,5,Rollover/Overturn,1,9999
0,12 Clock Point,60658,1,Pedestrian,1,9999
0,Non-Harmful Event,60662,1,Cross Centerline,1,5555
1,Non-Harmful Event,60662,2,Ran Off Roadway - Left,1,5555
2,12 Clock Point,60662,3,Embankment,1,9999
0,12 Clock Point,60663,1,Motor Vehicle In-Transport ,1,2
1,Non-Harmful Event,60663,2,Ran Off Roadway - Left,2,5555
2,Non-Collision,60663,3,Rollover/Overturn,2,9999
3,Non-Harmful Event,60663,4,Re-entering Roadway,2,5555
4,Non-Harmful Event,60663,5,Ran Off Roadway - Right,2,5555
5,Not Reported,60663,6,Cable Barrier,2,9999
0,Non-Harmful Event,60664,1,Ran Off Roadway - Right,1,5555
1,11 Clock Point,60664,2,Curb,1,9999
2,12 Clock Point,60664,3,Utility Pole/Light Support,1,9999
0,Non-Harmful Event,60665,1,Ran Off Roadway - Left,1,5555
1,Non-Harmful Event,60665,2,Cross Median,1,5555
2,12 Clock Point,60665,3,Motor Vehicle In-Transport ,1,2
0,Non-Harmful Event,60673,1,Ran Off Roadway - Right,1,5555
1,12 Clock Point,60673,2,Motor Vehicle In-Transport ,1,2
2,Other Objects Set-In-Motion,60673,3,"Motor Vehicle In-Transport Strikes or is Struck by Cargo, Persons or Objects Set-in-Motion from/by Another Motor Vehicle In Transport",2,1
3,12 Clock Point,60673,4,Motor Vehicle In-Transport ,1,3
4,Left,60673,5,Utility Pole/Light Support,1,9999
5,Not Reported,60673,6,Wall,1,9999
0,12 Clock Point,60674,1,Motor Vehicle In-Transport ,1,2
0,Non-Harmful Event,60675,1,Ran Off Roadway - Right,1,5555
1,Non-Harmful Event,60675,2,Re-entering Roadway,1,5555
2,Non-Harmful Event,60675,3,Cross Centerline,1,5555
3,Non-Harmful Event,60675,4,Ran Off Roadway - Left,1,5555
4,Left-Front Side,60675,5,Boulder,1,9999
5,Non-Collision,60675,6,Rollover/Overturn,1,9999
0,Non-Harmful Event,60675,1,Ran Off Roadway - Right,1,5555
1,Non-Harmful Event,60675,2,Re-entering Roadway,1,5555
2,Non-Harmful Event,60675,3,Cross Centerline,1,5555
3,Non-Harmful Event,60675,4,Ran Off Roadway - Left,1,5555
4,Left-Front Side,60675,5,Boulder,1,9999
5,Non-Collision,60675,6,Rollover/Overturn,1,9999
0,Non-Harmful Event,60677,1,Ran Off Roadway - Right,1,5555
1,Unknown,60677,2,Tree (Standing Only),1,9999
2,9 Clock Point,60677,3,Tree (Standing Only),1,9999
0,Right-Front Side,60678,1,Pedestrian,1,9999
0,Right-Front Side,60678,1,Pedestrian,1,9999
0,Non-Harmful Event,60680,1,Ran Off Roadway - Right,1,5555
1,Non-Collision,60680,2,Rollover/Overturn,1,9999
0,12 Clock Point,60681,1,Pedestrian,1,9999
0,12 Clock Point,60681,1,Pedestrian,1,9999
0,Non-Harmful Event,60684,1,Ran Off Roadway - Right,1,5555
1,6 Clock Point,60684,2,Impact Attenuator/Crash Cushion,1,9999
2,Not Reported,60684,3,Impact Attenuator/Crash Cushion,1,9999
0,12 Clock Point,60687,1,Motor Vehicle In-Transport ,1,2
0,Non-Harmful Event,60688,1,Ran Off Roadway - Right,1,5555
1,Non-Harmful Event,60688,2,Re-entering Roadway,1,5555
2,Non-Collision,60688,3,Rollover/Overturn,1,9999
3,Non-Harmful Event,60688,4,Ran Off Roadway - Right,1,5555
4,Not Reported,60688,5,Other Fixed Object,1,9999
5,Other Objects Set-In-Motion,60688,6,Mail Box,1,9999
0,Non-Harmful Event,60688,1,Ran Off Roadway - Right,1,5555
1,Non-Harmful Event,60688,2,Re-entering Roadway,1,5555
2,Non-Collision,60688,3,Rollover/Overturn,1,9999
3,Non-Harmful Event,60688,4,Ran Off Roadway - Right,1,5555
4,Not Reported,60688,5,Other Fixed Object,1,9999
5,Other Objects Set-In-Motion,60688,6,Mail Box,1,9999
0,Non-Harmful Event,60689,1,Ran Off Roadway - Right,1,9999
1,12 Clock Point,60689,2,Tree (Standing Only),1,9999
2,12 Clock Point,60689,3,Tree (Standing Only),1,9999
0,Non-Harmful Event,60696,1,Ran Off Roadway - Right,1,5555
1,12 Clock Point,60696,2,Wall,1,9999
0,12 Clock Point,60699,1,Motor Vehicle In-Transport ,1,2
1,Non-Harmful Event,60699,2,Ran Off Roadway - Left,2,5555
2,Not Reported,60699,3,Concrete Traffic Barrier,2,9999
0,Non-Collision,60701,1,Rollover/Overturn,1,9999
1,Non-Harmful Event,60701,2,Ran Off Roadway - Right,1,5555
2,6 Clock Point,60701,3,Boulder,1,9999
3,Other Objects Set-In-Motion,60701,4,Boulder,1,9999
0,Non-Harmful Event,60711,1,Cross Centerline,1,5555
1,Non-Harmful Event,60711,2,Ran Off Roadway - Left,1,5555
2,Not Reported,60711,3,Embankment,1,9999
3,Non-Collision,60711,4,Rollover/Overturn,1,9999
0,12 Clock Point,60714,1,Pedestrian,1,9999
0,12 Clock Point,60716,1,Pedestrian,1,9999
0,Non-Harmful Event,60718,1,Cross Centerline,1,5555
1,12 Clock Point,60718,2,Motor Vehicle In-Transport ,1,2
2,Non-Harmful Event,60718,3,Ran Off Roadway - Right,1,5555
3,12 Clock Point,60718,4,Embankment,1,9999
0,Non-Harmful Event,60718,1,Cross Centerline,1,5555
1,12 Clock Point,60718,2,Motor Vehicle In-Transport ,1,2
2,Non-Harmful Event,60718,3,Ran Off Roadway - Right,1,5555
3,12 Clock Point,60718,4,Embankment,1,9999
0,Non-Harmful Event,60719,1,Cross Median,1,5555
1,Non-Harmful Event,60719,2,Re-entering Roadway,1,5555
2,12 Clock Point,60719,3,Motor Vehicle In-Transport ,1,2
3,6 Clock Point,60719,4,Motor Vehicle In-Transport ,2,3
0,Non-Harmful Event,60720,1,Ran Off Roadway - Right,1,5555
1,Not Reported,60720,2,Curb,1,9999
2,12 Clock Point,60720,3,Tree (Standing Only),1,9999
3,1 Clock Point,60720,4,Other Fixed Object,1,9999
4,Not Reported,60720,5,Tree (Standing Only),1,9999
5,Not Reported,60720,6,Other Fixed Object,1,9999
6,Non-Collision,60720,7,Rollover/Overturn,1,9999
0,Non-Harmful Event,60721,1,Cross Centerline,1,5555
1,Non-Harmful Event,60721,2,Ran Off Roadway - Left,1,5555
2,6 Clock Point,60721,3,Tree (Standing Only),1,9999
0,12 Clock Point,60722,1,Pedestrian,1,9999
0,12 Clock Point,60722,1,Pedestrian,1,9999
0,12 Clock Point,60722,1,Pedestrian,1,9999
0,12 Clock Point,60722,1,Pedestrian,1,9999
0,Non-Harmful Event,60723,1,Ran Off Roadway - Right,1,9999
1,Undercarriage,60723,2,Curb,1,9999
2,9 Clock Point,60723,3,Utility Pole/Light Support,1,9999
0,Non-Harmful Event,60724,1,Ran Off Roadway - Left,1,5555
1,12 Clock Point,60724,2,Curb,1,9999
2,Other Objects Set-In-Motion,60724,3,Traffic Sign Support ,1,9999
0,12 Clock Point,60725,1,Pedestrian,1,9999
0,Non-Collision,60726,1,Rollover/Overturn,1,9999
0,Non-Harmful Event,60732,1,Ran Off Roadway - Right,1,5555
1,12 Clock Point,60732,2,Tree (Standing Only),1,9999
2,Right,60732,3,Tree (Standing Only),1,9999
0,12 Clock Point,60733,1,Motor Vehicle In-Transport ,1,2
1,12 Clock Point,60733,2,Motor Vehicle In-Transport ,1,3
0,Non-Harmful Event,60735,1,Cross Centerline,1,5555
1,Non-Collision,60735,2,Rollover/Overturn,1,9999
2,12 Clock Point,60735,3,Motor Vehicle In-Transport ,1,2
0,Non-Harmful Event,60735,1,Cross Centerline,1,5555
1,Non-Collision,60735,2,Rollover/Overturn,1,9999
2,12 Clock Point,60735,3,Motor Vehicle In-Transport ,1,2
0,12 Clock Point,60737,1,Pedestrian,1,9999
0,Non-Harmful Event,60743,1,Ran Off Roadway - Left,1,9999
1,9 Clock Point,60743,2,Utility Pole/Light Support,1,9999
2,Set-In-Motion (Not a Clock Point),60743,3,Parked Motor Vehicle ,1,2
0,12 Clock Point,60746,1,Motor Vehicle In-Transport ,1,2
1,12 Clock Point,60746,2,Motor Vehicle In-Transport ,2,3
0,12 Clock Point,60747,1,Motor Vehicle In-Transport ,1,2
1,Non-Collision,60747,2,Rollover/Overturn,2,9999
0,11 Clock Point,60749,1,Motor Vehicle In-Transport ,1,2
1,Non-Harmful Event,60749,2,Ran Off Roadway - Right,1,5555
2,12 Clock Point,60749,3,Utility Pole/Light Support,1,9999
0,12 Clock Point,60750,1,Pedestrian,1,9999
0,Non-Harmful Event,60751,1,Ran Off Roadway - Left,1,5555
1,Non-Harmful Event,60751,2,Cross Median,1,5555
2,Non-Harmful Event,60751,3,Re-entering Roadway,1,5555
3,12 Clock Point,60751,4,Motor Vehicle In-Transport ,1,2
0,12 Clock Point,60752,1,Non-Motorist on Personal Conveyance,1,9999
0,Non-Harmful Event,60754,1,Cross Median,1,5555
1,Non-Harmful Event,60754,2,Ran Off Roadway - Left,1,5555
2,12 Clock Point,60754,3,Curb,1,9999
3,12 Clock Point,60754,4,Tree (Standing Only),1,9999
0,12 Clock Point,60755,1,Pedestrian,1,9999
0,12 Clock Point,60755,1,Pedestrian,1,9999
0,Non-Harmful Event,60760,1,Ran Off Roadway - Right,1,5555
1,12 Clock Point,60760,2,Tree (Standing Only),1,9999
2,Not Reported,60760,3,Fence,1,9999
3,Non-Collision,60760,4,Fire/Explosion,1,9999
0,Non-Harmful Event,60761,1,Ran Off Roadway - Left,1,5555
1,Undercarriage,60761,2,Curb,1,9999
2,Not Reported,60761,3,Tree (Standing Only),1,9999
3,12 Clock Point,60761,4,Tree (Standing Only),1,9999
4,Non-Collision,60761,5,Rollover/Overturn,1,9999
5,Non-Collision,60761,6,Fire/Explosion,1,9999
0,12 Clock Point,60763,1,Motor Vehicle In-Transport ,1,2
1,Other Objects Set-In-Motion,60763,2,"Motor Vehicle In-Transport Strikes or is Struck by Cargo, Persons or Objects Set-in-Motion from/by Another Motor Vehicle In Transport",2,3
2,Not Reported,60763,3,Motor Vehicle In-Transport ,1,3
0,12 Clock Point,60764,1,Pedestrian,1,9999
0,12 Clock Point,60764,1,Pedestrian,1,9999
0,Undercarriage,60766,1,Curb,1,9999
1,Non-Collision,60766,2,Fell/Jumped from Vehicle,1,9999
2,6 Clock Point,60766,3,Parked Motor Vehicle ,1,2
0,Undercarriage,60766,1,Curb,1,9999
1,Non-Collision,60766,2,Fell/Jumped from Vehicle,1,9999
2,6 Clock Point,60766,3,Parked Motor Vehicle ,1,2
0,12 Clock Point,60767,1,Motor Vehicle In-Transport ,2,1
1,Non-Collision,60767,2,Rollover/Overturn,2,9999
0,Non-Harmful Event,60772,1,Ran Off Roadway - Left,1,5555
1,Left-Front Side,60772,2,Impact Attenuator/Crash Cushion,1,9999
2,Non-Collision,60772,3,Rollover/Overturn,1,9999
3,Non-Harmful Event,60772,4,Cargo/Equipment Loss or Shift (non-harmful) ,1,5555
4,Cargo/Vehicle Parts Set-In-Motion,60772,5,"Motor Vehicle In-Transport Strikes or is Struck by Cargo, Persons or Objects Set-in-Motion from/by Another Motor Vehicle In Transport",1,3
5,12 Clock Point,60772,6,Motor Vehicle In-Transport ,2,1
6,Cargo/Vehicle Parts Set-In-Motion,60772,7,"Motor Vehicle In-Transport Strikes or is Struck by Cargo, Persons or Objects Set-in-Motion from/by Another Motor Vehicle In Transport",1,4
0,Non-Harmful Event,60772,1,Ran Off Roadway - Left,1,5555
1,Left-Front Side,60772,2,Impact Attenuator/Crash Cushion,1,9999
2,Non-Collision,60772,3,Rollover/Overturn,1,9999
3,Non-Harmful Event,60772,4,Cargo/Equipment Loss or Shift (non-harmful) ,1,5555
4,Cargo/Vehicle Parts Set-In-Motion,60772,5,"Motor Vehicle In-Transport Strikes or is Struck by Cargo, Persons or Objects Set-in-Motion from/by Another Motor Vehicle In Transport",1,3
5,12 Clock Point,60772,6,Motor Vehicle In-Transport ,2,1
6,Cargo/Vehicle Parts Set-In-Motion,60772,7,"Motor Vehicle In-Transport Strikes or is Struck by Cargo, Persons or Objects Set-in-Motion from/by Another Motor Vehicle In Transport",1,4
0,Non-Harmful Event,60772,1,Ran Off Roadway - Left,1,5555
1,Left-Front Side,60772,2,Impact Attenuator/Crash Cushion,1,9999
2,Non-Collision,60772,3,Rollover/Overturn,1,9999
3,Non-Harmful Event,60772,4,Cargo/Equipment Loss or Shift (non-harmful) ,1,5555
4,Cargo/Vehicle Parts Set-In-Motion,60772,5,"Motor Vehicle In-Transport Strikes or is Struck by Cargo, Persons or Objects Set-in-Motion from/by Another Motor Vehicle In Transport",1,3
5,12 Clock Point,60772,6,Motor Vehicle In-Transport ,2,1
6,Cargo/Vehicle Parts Set-In-Motion,60772,7,"Motor Vehicle In-Transport Strikes or is Struck by Cargo, Persons or Objects Set-in-Motion from/by Another Motor Vehicle In Transport",1,4
0,12 Clock Point,60779,1,Pedestrian,1,9999
0,12 Clock Point,60781,1,Pedestrian,1,9999
0,12 Clock Point,60783,1,Motor Vehicle In-Transport ,1,2
0,Non-Harmful Event,60788,1,Ran Off Roadway - Right,1,5555
1,12 Clock Point,60788,2,Pedestrian,1,9999
2,Other Objects Set-In-Motion,60788,3,Traffic Sign Support ,1,9999
0,12 Clock Point,60789,1,Motor Vehicle In-Transport ,1,2
1,Non-Collision,60789,2,Rollover/Overturn,1,9999
0,12 Clock Point,60793,1,Motor Vehicle In-Transport ,1,2
0,12 Clock Point,60793,1,Motor Vehicle In-Transport ,1,2
0,Undercarriage,60794,1,Pedestrian,1,9999
0,Undercarriage,60794,1,Pedestrian,1,9999
0,Undercarriage,60796,1,Ground,1,9999
1,Non-Harmful Event,60796,2,Ran Off Roadway - Left,1,5555
2,12 Clock Point,60796,3,Curb,1,9999
3,12 Clock Point,60796,4,Tree (Standing Only),1,9999
4,Other Objects Set-In-Motion,60796,5,Parked Motor Vehicle ,1,2
5,12 Clock Point,60796,6,Building,1,9999
0,Undercarriage,60796,1,Ground,1,9999
1,Non-Harmful Event,60796,2,Ran Off Roadway - Left,1,5555
2,12 Clock Point,60796,3,Curb,1,9999
3,12 Clock Point,60796,4,Tree (Standing Only),1,9999
4,Other Objects Set-In-Motion,60796,5,Parked Motor Vehicle ,1,2
5,12 Clock Point,60796,6,Building,1,9999
0,Undercarriage,60796,1,Ground,1,9999
1,Non-Harmful Event,60796,2,Ran Off Roadway - Left,1,5555
2,12 Clock Point,60796,3,Curb,1,9999
3,12 Clock Point,60796,4,Tree (Standing Only),1,9999
4,Other Objects Set-In-Motion,60796,5,Parked Motor Vehicle ,1,2
5,12 Clock Point,60796,6,Building,1,9999
0,12 Clock Point,60797,1,Motor Vehicle In-Transport ,1,2
0,12 Clock Point,60797,1,Motor Vehicle In-Transport ,1,2
0,12 Clock Point,60801,1,Pedestrian,1,9999
0,Non-Harmful Event,60802,1,Ran Off Roadway - Right,1,5555
1,Not Reported,60802,2,Fence,1,9999
2,Non-Collision,60802,3,Fell/Jumped from Vehicle,1,9999
0,Non-Harmful Event,60802,1,Ran Off Roadway - Right,1,5555
1,Not Reported,60802,2,Fence,1,9999
2,Non-Collision,60802,3,Fell/Jumped from Vehicle,1,9999
0,Non-Harmful Event,60803,1,Cross Centerline,1,5555
1,Non-Harmful Event,60803,2,Ran Off Roadway - Left,1,5555
2,12 Clock Point,60803,3,Tree (Standing Only),1,9999
0,Non-Harmful Event,60803,1,Cross Centerline,1,5555
1,Non-Harmful Event,60803,2,Ran Off Roadway - Left,1,5555
2,12 Clock Point,60803,3,Tree (Standing Only),1,9999
0,Non-Harmful Event,60804,1,Ran Off Roadway - Left,1,5555
1,Non-Harmful Event,60804,2,Re-entering Roadway,1,5555
2,Non-Harmful Event,60804,3,Cross Centerline,1,5555
3,12 Clock Point,60804,4,Motor Vehicle In-Transport ,2,1
0,Non-Harmful Event,60805,1,Cross Centerline,1,5555
1,Non-Harmful Event,60805,2,Ran Off Roadway - Left,1,5555
2,Not Reported,60805,3,Fence,1,9999
3,Non-Collision,60805,4,Rollover/Overturn,1,9999
0,Non-Harmful Event,60807,1,Ran Off Roadway - Right,1,5555
1,9 Clock Point,60807,2,Pedestrian,1,9999
2,Undercarriage,60807,3,Curb,1,9999
3,Undercarriage,60807,4,Pedestrian,1,9999
4,9 Clock Point,60807,5,Other Fixed Object,1,9999
5,Other Objects Set-In-Motion,60807,6,Other Fixed Object,1,9999
6,Other Objects Set-In-Motion,60807,7,Object Fell From Motor Vehicle In-Transport,1,9999
7,9 Clock Point,60807,8,Shrubbery,1,9999
0,Non-Harmful Event,60808,1,Cross Centerline,1,5555
1,10 Clock Point,60808,2,Motor Vehicle In-Transport ,2,1
0,Non-Harmful Event,60808,1,Cross Centerline,1,5555
1,10 Clock Point,60808,2,Motor Vehicle In-Transport ,2,1
0,12 Clock Point,60809,1,Motor Vehicle In-Transport ,1,2
0,12 Clock Point,60809,1,Motor Vehicle In-Transport ,1,2
0,12 Clock Point,60809,1,Motor Vehicle In-Transport ,1,2
0,Non-Harmful Event,60812,1,Ran Off Roadway - Right,1,9999
1,12 Clock Point,60812,2,Tree (Standing Only),1,9999
2,Non-Collision,60812,3,Fire/Explosion,1,9999
0,Non-Harmful Event,60812,1,Ran Off Roadway - Right,1,9999
1,12 Clock Point,60812,2,Tree (Standing Only),1,9999
2,Non-Collision,60812,3,Fire/Explosion,1,9999
0,Non-Collision,60814,1,Rollover/Overturn,1,9999
1,Non-Harmful Event,60814,2,Ran Off Roadway - Right,1,5555
2,Not Reported,60814,3,Curb,1,9999
0,Non-Harmful Event,60815,1,Ran Off Roadway - Right,1,5555
1,12 Clock Point,60815,2,Tree (Standing Only),1,9999
0,Non-Harmful Event,60816,1,Ran Off Roadway - Left,1,5555
1,12 Clock Point,60816,2,Guardrail Face,1,9999
2,6 Clock Point,60816,3,Guardrail Face,1,9999
0,Non-Harmful Event,60816,1,Ran Off Roadway - Left,1,5555
1,12 Clock Point,60816,2,Guardrail Face,1,9999
2,6 Clock Point,60816,3,Guardrail Face,1,9999
0,Non-Harmful Event,60816,1,Ran Off Roadway - Left,1,5555
1,12 Clock Point,60816,2,Guardrail Face,1,9999
2,6 Clock Point,60816,3,Guardrail Face,1,9999
0,12 Clock Point,60819,1,Pedestrian,1,9999
0,12 Clock Point,60820,1,Pedestrian,1,9999
0,12 Clock Point,60821,1,Motor Vehicle In-Transport ,1,2
1,Non-Harmful Event,60821,2,Ran Off Roadway - Right,1,5555
2,6 Clock Point,60821,3,Guardrail Face,1,9999
0,2 Clock Point,60824,1,Motor Vehicle In-Transport ,1,2
1,Non-Harmful Event,60824,2,Ran Off Roadway - Left,1,5555
2,Not Reported,60824,3,Concrete Traffic Barrier,1,9999
3,Other Objects Set-In-Motion,60824,4,"Motor Vehicle In-Transport Strikes or is Struck by Cargo, Persons or Objects Set-in-Motion from/by Another Motor Vehicle In Transport",1,3
0,2 Clock Point,60824,1,Motor Vehicle In-Transport ,1,2
1,Non-Harmful Event,60824,2,Ran Off Roadway - Left,1,5555
2,Not Reported,60824,3,Concrete Traffic Barrier,1,9999
3,Other Objects Set-In-Motion,60824,4,"Motor Vehicle In-Transport Strikes or is Struck by Cargo, Persons or Objects Set-in-Motion from/by Another Motor Vehicle In Transport",1,3
0,12 Clock Point,60832,1,Pedestrian,1,9999
0,Non-Harmful Event,60834,1,Cross Centerline,1,5555
1,12 Clock Point,60834,2,Motor Vehicle In-Transport ,1,2
2,Non-Harmful Event,60834,3,Ran Off Roadway - Right,2,5555
3,Not Reported,60834,4,Traffic Sign Support ,2,9999
0,Non-Harmful Event,60835,1,Ran Off Roadway - Left,1,5555
1,Undercarriage,60835,2,Concrete Traffic Barrier,1,9999
2,Non-Harmful Event,60835,3,Re-entering Roadway,1,5555
3,Non-Harmful Event,60835,4,Ran Off Roadway - Right,1,5555
4,Undercarriage,60835,5,Curb,1,9999
5,Not Reported,60835,6,Traffic Sign Support ,1,9999
6,Not Reported,60835,7,Other Fixed Object,1,9999
7,Non-Collision,60835,8,Rollover/Overturn,1,9999
8,Not Reported,60835,9,Tree (Standing Only),1,9999
0,12 Clock Point,60836,1,Pedalcyclist,1,9999
0,12 Clock Point,60836,1,Pedalcyclist,1,9999
0,Non-Harmful Event,60837,1,Ran Off Roadway - Right,1,5555
1,Non-Harmful Event,60837,2,Re-entering Roadway,1,5555
2,Non-Harmful Event,60837,3,Cross Centerline,1,5555
3,Non-Harmful Event,60837,4,Ran Off Roadway - Left,1,5555
4,Not Reported,60837,5,Boulder,1,9999
5,Non-Collision,60837,6,Rollover/Overturn,1,9999
0,Non-Harmful Event,60837,1,Ran Off Roadway - Right,1,5555
1,Non-Harmful Event,60837,2,Re-entering Roadway,1,5555
2,Non-Harmful Event,60837,3,Cross Centerline,1,5555
3,Non-Harmful Event,60837,4,Ran Off Roadway - Left,1,5555
4,Not Reported,60837,5,Boulder,1,9999
5,Non-Collision,60837,6,Rollover/Overturn,1,9999
0,Non-Harmful Event,60839,1,Cross Centerline,1,9999
1,Non-Harmful Event,60839,2,Ran Off Roadway - Left,1,9999
2,Non-Harmful Event,60839,3,Re-entering Roadway,1,9999
3,Non-Harmful Event,60839,4,Cross Centerline,1,9999
4,Non-Harmful Event,60839,5,Ran Off Roadway - Right,1,9999
5,Non-Collision,60839,6,Rollover/Overturn,1,9999
0,12 Clock Point,60843,1,Motor Vehicle In-Transport ,1,2
1,12 Clock Point,60843,2,Motor Vehicle In-Transport ,1,3
2,Not Reported,60843,3,Motor Vehicle In-Transport ,1,3
0,Non-Collision,60844,1,Rollover/Overturn,1,9999
1,Non-Harmful Event,60844,2,Ran Off Roadway - Right,1,9999
2,Not Reported,60844,3,Embankment,1,9999
3,Non-Collision,60844,4,Rollover/Overturn,1,9999
0,12 Clock Point,60846,1,Pedestrian,1,9999
0,Left-Front Side,60847,1,Pedestrian,1,9999
0,12 Clock Point,60849,1,Motor Vehicle In-Transport ,1,2
1,Non-Harmful Event,60849,2,Ran Off Roadway - Right,1,5555
2,Right,60849,3,Embankment,1,9999
3,Non-Collision,60849,4,Rollover/Overturn,1,9999
4,Non-Collision,60849,5,Fire/Explosion,1,9999
0,12 Clock Point,60850,1,Pedestrian,1,9999
0,Non-Harmful Event,60851,1,Ran Off Roadway - Right,1,5555
1,Left-Front Side,60851,2,Traffic Signal Support,1,9999
0,Non-Harmful Event,60851,1,Ran Off Roadway - Right,1,5555
1,Left-Front Side,60851,2,Traffic Signal Support,1,9999
0,Non-Harmful Event,60853,1,Ran Off Roadway - Left,1,9999
1,Non-Harmful Event,60853,2,Cross Median,1,9999
2,Non-Collision,60853,3,Rollover/Overturn,1,9999
3,Top,60853,4,Motor Vehicle In-Transport ,1,2
4,Non-Collision,60853,5,Rollover/Overturn,1,9999
5,Top,60853,6,Motor Vehicle In-Transport ,1,3
6,Non-Collision,60853,7,Rollover/Overturn,3,9999
0,Non-Harmful Event,60853,1,Ran Off Roadway - Left,1,9999
1,Non-Harmful Event,60853,2,Cross Median,1,9999
2,Non-Collision,60853,3,Rollover/Overturn,1,9999
3,Top,60853,4,Motor Vehicle In-Transport ,1,2
4,Non-Collision,60853,5,Rollover/Overturn,1,9999
5,Top,60853,6,Motor Vehicle In-Transport ,1,3
6,Non-Collision,60853,7,Rollover/Overturn,3,9999
0,12 Clock Point,60854,1,Pedestrian,1,9999
0,Non-Harmful Event,60855,1,Ran Off Roadway - Left,1,5555
1,Non-Harmful Event,60855,2,Ran Off Roadway - Right,1,5555
2,Not Reported,60855,3,Mail Box,1,9999
3,Not Reported,60855,4,Fence,1,9999
4,Not Reported,60855,5,Tree (Standing Only),1,9999
5,Not Reported,60855,6,Fence,1,9999
0,Non-Harmful Event,60861,1,Ran Off Roadway - Right,1,5555
1,Undercarriage,60861,2,Curb,1,9999
2,Non-Collision,60861,3,Rollover/Overturn,1,9999
0,12 Clock Point,60864,1,Motor Vehicle In-Transport ,2,1
1,Non-Harmful Event,60864,2,Ran Off Roadway - Right,1,5555
2,Not Reported,60864,3,Curb,1,9999
3,Not Reported,60864,4,Curb,1,9999
4,Not Reported,60864,5,Traffic Sign Support ,1,9999
0,12 Clock Point,60865,1,Pedestrian,1,9999
0,12 Clock Point,60865,1,Pedestrian,1,9999
0,Non-Harmful Event,60866,1,Cross Centerline,1,5555
1,12 Clock Point,60866,2,Motor Vehicle In-Transport ,1,2
0,Non-Harmful Event,60866,1,Cross Centerline,1,5555
1,12 Clock Point,60866,2,Motor Vehicle In-Transport ,1,2
0,Non-Harmful Event,60868,1,Ran Off Roadway - Right,1,5555
1,12 Clock Point,60868,2,Embankment,1,9999
2,Non-Collision,60868,3,Rollover/Overturn,1,9999
3,Not Reported,60868,4,Fence,1,9999
4,Not Reported,60868,5,Pedalcyclist,1,9999
5,Not Reported,60868,6,Pedalcyclist,1,9999
0,Non-Harmful Event,60872,1,Ran Off Roadway - Right,1,5555
