,Case Number,Area of Impact,Standard of Evenidence,Event Number,Vehicle 1,Vehicle 2
2,60723,9 Clock Point,Utility Pole/Light Support,3,1,9999
0,60724,Non-Harmful Event,Ran Off Roadway - Left,1,1,5555
1,60724,12 Clock Point,Curb,2,1,9999
2,60724,Other Objects Set-In-Motion,Traffic Sign Support ,3,1,9999
0,60725,12 Clock Point,Pedestrian,1,1,9999
0,60726,Non-Collision,Rollover/Overturn,1,1,9999
0,60732,Non-Harmful Event,Ran Off Roadway - Right,1,1,5555
1,60732,12 Clock Point,Tree (Standing Only),2,1,9999
2,60732,Right,Tree (Standing Only),3,1,9999
0,60733,12 Clock Point,Motor Vehicle In-Transport ,1,1,2
1,60733,12 Clock Point,Motor Vehicle In-Transport ,2,1,3
0,60735,12 Clock Point,Pedestrian,1,1,9999
0,60735,Non-Harmful Event,Cross Centerline,1,1,5555
1,60735,Non-Collision,Rollover/Overturn,2,1,9999
2,60735,12 Clock Point,Motor Vehicle In-Transport ,3,1,2
0,60737,12 Clock Point,Pedestrian,1,1,9999
0,60743,Non-Harmful Event,Ran Off Roadway - Left,1,1,9999
1,60743,9 Clock Point,Utility Pole/Light Support,2,1,9999
2,60743,Set-In-Motion (Not a Clock Point),Parked Motor Vehicle ,3,1,2
0,60746,12 Clock Point,Motor Vehicle In-Transport ,1,1,2
1,60746,12 Clock Point,Motor Vehicle In-Transport ,2,2,3
0,60747,12 Clock Point,Motor Vehicle In-Transport ,1,1,2
1,60747,Non-Collision,Rollover/Overturn,2,2,9999
0,60749,11 Clock Point,Motor Vehicle In-Transport ,1,1,2
1,60749,Non-Harmful Event,Ran Off Roadway - Right,2,1,5555
2,60749,12 Clock Point,Utility Pole/Light Support,3,1,9999
0,60750,12 Clock Point,Pedestrian,1,1,9999
0,60751,Non-Harmful Event,Ran Off Roadway - Left,1,1,5555
1,60751,Non-Harmful Event,Cross Median,2,1,5555
2,60751,Non-Harmful Event,Re-entering Roadway,3,1,5555
3,60751,12 Clock Point,Motor Vehicle In-Transport ,4,1,2
0,60752,12 Clock Point,Non-Motorist on Personal Conveyance,1,1,9999
0,60754,Non-Harmful Event,Cross Median,1,1,5555
1,60754,Non-Harmful Event,Ran Off Roadway - Left,2,1,5555
2,60754,12 Clock Point,Curb,3,1,9999
3,60754,12 Clock Point,Tree (Standing Only),4,1,9999
0,60755,3 Clock Point,Motor Vehicle In-Transport ,1,1,2
1,60755,Non-Collision,Fire/Explosion,2,1,9999
2,60755,Non-Collision,Fire/Explosion,3,2,9999
0,60755,12 Clock Point,Pedestrian,1,1,9999
0,60760,Non-Harmful Event,Ran Off Roadway - Right,1,1,5555
1,60760,12 Clock Point,Tree (Standing Only),2,1,9999
2,60760,Not Reported,Fence,3,1,9999
3,60760,Non-Collision,Fire/Explosion,4,1,9999
0,60761,Non-Harmful Event,Ran Off Roadway - Left,1,1,5555
1,60761,Undercarriage,Curb,2,1,9999
2,60761,Not Reported,Tree (Standing Only),3,1,9999
3,60761,12 Clock Point,Tree (Standing Only),4,1,9999
4,60761,Non-Collision,Rollover/Overturn,5,1,9999
5,60761,Non-Collision,Fire/Explosion,6,1,9999
0,60763,12 Clock Point,Motor Vehicle In-Transport ,1,1,2
1,60763,Other Objects Set-In-Motion,"Motor Vehicle In-Transport Strikes or is Struck by Cargo, Persons or Objects Set-in-Motion from/by Another Motor Vehicle In Transport",2,2,3
2,60763,Not Reported,Motor Vehicle In-Transport ,3,1,3
0,60764,12 Clock Point,Motor Vehicle In-Transport ,1,1,2
1,60764,Non-Collision,Rollover/Overturn,2,1,9999
0,60764,12 Clock Point,Pedestrian,1,1,9999
0,60766,Undercarriage,Curb,1,1,9999
1,60766,Non-Collision,Fell/Jumped from Vehicle,2,1,9999
2,60766,6 Clock Point,Parked Motor Vehicle ,3,1,2
0,60766,Non-Harmful Event,Ran Off Roadway - Left,1,1,5555
1,60766,Non-Harmful Event,Re-entering Roadway,2,1,5555
2,60766,Non-Harmful Event,Ran Off Roadway - Right,3,1,5555
3,60766,Not Reported,Tree (Standing Only),4,1,9999
4,60766,Non-Collision,Rollover/Overturn,5,1,9999
5,60766,Non-Harmful Event,Ran Off Roadway - Right,6,1,5555
6,60766,Not Reported,Fence,7,1,9999
0,60767,12 Clock Point,Motor Vehicle In-Transport ,1,2,1
1,60767,Non-Collision,Rollover/Overturn,2,2,9999
0,60772,Right,Motor Vehicle In-Transport ,1,1,2
1,60772,Right,Motor Vehicle In-Transport ,2,1,3
2,60772,Non-Harmful Event,Cross Centerline,3,1,9999
3,60772,Non-Collision,Rollover/Overturn,4,1,9999
4,60772,Not Reported,Motor Vehicle In-Transport ,5,1,4
0,60772,Non-Collision,Rollover/Overturn,1,1,9999
1,60772,Other Objects Set-In-Motion,Traffic Sign Support ,2,1,9999
0,60772,Non-Harmful Event,Ran Off Roadway - Left,1,1,5555
1,60772,Left-Front Side,Impact Attenuator/Crash Cushion,2,1,9999
2,60772,Non-Collision,Rollover/Overturn,3,1,9999
3,60772,Non-Harmful Event,Cargo/Equipment Loss or Shift (non-harmful) ,4,1,5555
4,60772,Cargo/Vehicle Parts Set-In-Motion,"Motor Vehicle In-Transport Strikes or is Struck by Cargo, Persons or Objects Set-in-Motion from/by Another Motor Vehicle In Transport",5,1,3
5,60772,12 Clock Point,Motor Vehicle In-Transport ,6,2,1
6,60772,Cargo/Vehicle Parts Set-In-Motion,"Motor Vehicle In-Transport Strikes or is Struck by Cargo, Persons or Objects Set-in-Motion from/by Another Motor Vehicle In Transport",7,1,4
0,60779,12 Clock Point,Pedestrian,1,1,9999
0,60781,12 Clock Point,Pedestrian,1,1,9999
0,60783,12 Clock Point,Motor Vehicle In-Transport ,1,1,2
0,60788,Non-Harmful Event,Ran Off Roadway - Right,1,1,5555
1,60788,12 Clock Point,Pedestrian,2,1,9999
2,60788,Other Objects Set-In-Motion,Traffic Sign Support ,3,1,9999
0,60789,12 Clock Point,Motor Vehicle In-Transport ,1,1,2
1,60789,Non-Collision,Rollover/Overturn,2,1,9999
0,60793,Unknown,Pedestrian,1,1,9999
0,60793,12 Clock Point,Motor Vehicle In-Transport ,1,1,2
0,60794,Non-Harmful Event,Ran Off Roadway - Left,1,1,5555
1,60794,Not Reported,Curb,2,1,9999
2,60794,Not Reported,Tree (Standing Only),3,1,9999
0,60794,Undercarriage,Pedestrian,1,1,9999
0,60796,Non-Harmful Event,Ran Off Roadway - Left,1,1,5555
1,60796,Not Reported,Concrete Traffic Barrier,2,1,9999
2,60796,Not Reported,Concrete Traffic Barrier,3,1,9999
3,60796,Non-Harmful Event,Re-entering Roadway,4,1,5555
4,60796,Non-Harmful Event,Ran Off Roadway - Right,5,1,5555
5,60796,Not Reported,Other Fixed Object,6,1,9999
6,60796,Left,Tree (Standing Only),7,1,9999
0,60796,12 Clock Point,Motor Vehicle In-Transport ,1,1,2
1,60796,12 Clock Point,Motor Vehicle In-Transport ,2,3,1
2,60796,Non-Harmful Event,Ran Off Roadway - Left,3,3,5555
3,60796,Not Reported,Concrete Traffic Barrier,4,3,9999
0,60796,Undercarriage,Ground,1,1,9999
1,60796,Non-Harmful Event,Ran Off Roadway - Left,2,1,5555
2,60796,12 Clock Point,Curb,3,1,9999
3,60796,12 Clock Point,Tree (Standing Only),4,1,9999
4,60796,Other Objects Set-In-Motion,Parked Motor Vehicle ,5,1,2
5,60796,12 Clock Point,Building,6,1,9999
0,60797,Non-Harmful Event,Ran Off Roadway - Right,1,1,5555
1,60797,Not Reported,Guardrail Face,2,1,9999
2,60797,Non-Harmful Event,Re-entering Roadway,3,1,5555
3,60797,Non-Harmful Event,Ran Off Roadway - Left,4,1,5555
4,60797,Not Reported,Curb,5,1,9999
5,60797,Not Reported,Utility Pole/Light Support,6,1,9999
6,60797,12 Clock Point,Wall,7,1,9999
0,60797,12 Clock Point,Motor Vehicle In-Transport ,1,1,2
0,60801,12 Clock Point,Pedestrian,1,1,9999
0,60802,Non-Harmful Event,Ran Off Roadway - Right,1,1,5555
1,60802,Not Reported,Embankment,2,1,9999
2,60802,Non-Collision,Rollover/Overturn,3,1,9999
3,60802,Not Reported,Fence,4,1,9999
0,60802,Non-Harmful Event,Ran Off Roadway - Right,1,1,5555
1,60802,Not Reported,Fence,2,1,9999
2,60802,Non-Collision,Fell/Jumped from Vehicle,3,1,9999
0,60803,Non-Harmful Event,Ran Off Roadway - Right,1,1,5555
1,60803,Non-Collision,Rollover/Overturn,2,1,9999
2,60803,Not Reported,Fence,3,1,9999
0,60803,Non-Harmful Event,Cross Centerline,1,1,5555
1,60803,Non-Harmful Event,Ran Off Roadway - Left,2,1,5555
2,60803,12 Clock Point,Tree (Standing Only),3,1,9999
0,60804,Non-Harmful Event,Ran Off Roadway - Left,1,1,5555
1,60804,Non-Harmful Event,Re-entering Roadway,2,1,5555
2,60804,Non-Harmful Event,Cross Centerline,3,1,5555
3,60804,12 Clock Point,Motor Vehicle In-Transport ,4,2,1
0,60805,Non-Harmful Event,Cross Centerline,1,1,5555
1,60805,Non-Harmful Event,Ran Off Roadway - Left,2,1,5555
2,60805,Not Reported,Fence,3,1,9999
3,60805,Non-Collision,Rollover/Overturn,4,1,9999
0,60807,Non-Harmful Event,Ran Off Roadway - Right,1,1,5555
1,60807,9 Clock Point,Pedestrian,2,1,9999
2,60807,Undercarriage,Curb,3,1,9999
3,60807,Undercarriage,Pedestrian,4,1,9999
4,60807,9 Clock Point,Other Fixed Object,5,1,9999
5,60807,Other Objects Set-In-Motion,Other Fixed Object,6,1,9999
6,60807,Other Objects Set-In-Motion,Object Fell From Motor Vehicle In-Transport,7,1,9999
7,60807,9 Clock Point,Shrubbery,8,1,9999
0,60808,Non-Harmful Event,Cross Centerline,1,1,5555
1,60808,10 Clock Point,Motor Vehicle In-Transport ,2,2,1
0,60808,Non-Harmful Event,Ran Off Roadway - Right,1,1,5555
1,60808,12 Clock Point,Embankment,2,1,9999
2,60808,Non-Harmful Event,Re-entering Roadway,3,1,5555
3,60808,Non-Collision,Rollover/Overturn,4,1,9999
0,60809,Non-Harmful Event,Ran Off Roadway - Right,1,1,5555
1,60809,12 Clock Point,Tree (Standing Only),2,1,9999
2,60809,Non-Collision,Rollover/Overturn,3,1,9999
3,60809,Top,Culvert,4,1,9999
0,60809,Non-Harmful Event,Cross Centerline,1,1,5555
1,60809,Non-Collision,Rollover/Overturn,2,1,9999
0,60809,12 Clock Point,Motor Vehicle In-Transport ,1,1,2
0,60812,Non-Harmful Event,Cross Centerline,1,1,5555
1,60812,12 Clock Point,Motor Vehicle In-Transport ,2,1,2
0,60812,Non-Harmful Event,Ran Off Roadway - Right,1,1,9999
1,60812,12 Clock Point,Tree (Standing Only),2,1,9999
2,60812,Non-Collision,Fire/Explosion,3,1,9999
0,60814,Non-Collision,Rollover/Overturn,1,1,9999
1,60814,Non-Harmful Event,Ran Off Roadway - Right,2,1,5555
2,60814,Not Reported,Curb,3,1,9999
0,60815,Non-Harmful Event,Ran Off Roadway - Right,1,1,5555
1,60815,12 Clock Point,Tree (Standing Only),2,1,9999
0,60816,Non-Harmful Event,Ran Off Roadway - Right,1,1,5555
1,60816,Not Reported,Ditch,2,1,9999
2,60816,Not Reported,Traffic Sign Support ,3,1,9999
0,60816,Non-Harmful Event,Ran Off Roadway - Left,1,1,5555
1,60816,12 Clock Point,Boulder,2,1,9999
2,60816,Non-Collision,Rollover/Overturn,3,1,9999
0,60816,Non-Harmful Event,Ran Off Roadway - Left,1,1,5555
1,60816,12 Clock Point,Guardrail Face,2,1,9999
2,60816,6 Clock Point,Guardrail Face,3,1,9999
0,60819,12 Clock Point,Pedestrian,1,1,9999
0,60820,12 Clock Point,Pedestrian,1,1,9999
0,60821,12 Clock Point,Motor Vehicle In-Transport ,1,1,2
1,60821,Non-Harmful Event,Ran Off Roadway - Right,2,1,5555
2,60821,6 Clock Point,Guardrail Face,3,1,9999
0,60824,12 Clock Point,Motor Vehicle In-Transport ,1,2,1
0,60824,2 Clock Point,Motor Vehicle In-Transport ,1,1,2
1,60824,Non-Harmful Event,Ran Off Roadway - Left,2,1,5555
2,60824,Not Reported,Concrete Traffic Barrier,3,1,9999
3,60824,Other Objects Set-In-Motion,"Motor Vehicle In-Transport Strikes or is Struck by Cargo, Persons or Objects Set-in-Motion from/by Another Motor Vehicle In Transport",4,1,3
0,60832,12 Clock Point,Pedestrian,1,1,9999
0,60834,Non-Harmful Event,Cross Centerline,1,1,5555
1,60834,12 Clock Point,Motor Vehicle In-Transport ,2,1,2
2,60834,Non-Harmful Event,Ran Off Roadway - Right,3,2,5555
3,60834,Not Reported,Traffic Sign Support ,4,2,9999
0,60835,Non-Harmful Event,Ran Off Roadway - Left,1,1,5555
1,60835,Undercarriage,Concrete Traffic Barrier,2,1,9999
2,60835,Non-Harmful Event,Re-entering Roadway,3,1,5555
3,60835,Non-Harmful Event,Ran Off Roadway - Right,4,1,5555
4,60835,Undercarriage,Curb,5,1,9999
5,60835,Not Reported,Traffic Sign Support ,6,1,9999
6,60835,Not Reported,Other Fixed Object,7,1,9999
7,60835,Non-Collision,Rollover/Overturn,8,1,9999
8,60835,Not Reported,Tree (Standing Only),9,1,9999
0,60836,12 Clock Point,Motor Vehicle In-Transport ,1,1,2
0,60836,12 Clock Point,Pedalcyclist,1,1,9999
0,60837,12 Clock Point,Motor Vehicle In-Transport ,1,1,2
0,60837,Non-Harmful Event,Ran Off Roadway - Right,1,1,5555
1,60837,Non-Harmful Event,Re-entering Roadway,2,1,5555
2,60837,Non-Harmful Event,Cross Centerline,3,1,5555
3,60837,Non-Harmful Event,Ran Off Roadway - Left,4,1,5555
4,60837,Not Reported,Boulder,5,1,9999
5,60837,Non-Collision,Rollover/Overturn,6,1,9999
0,60839,Non-Harmful Event,Cross Centerline,1,1,9999
1,60839,Non-Harmful Event,Ran Off Roadway - Left,2,1,9999
2,60839,Non-Harmful Event,Re-entering Roadway,3,1,9999
3,60839,Non-Harmful Event,Cross Centerline,4,1,9999
4,60839,Non-Harmful Event,Ran Off Roadway - Right,5,1,9999
5,60839,Non-Collision,Rollover/Overturn,6,1,9999
0,60843,12 Clock Point,Motor Vehicle In-Transport ,1,1,2
1,60843,12 Clock Point,Motor Vehicle In-Transport ,2,1,3
2,60843,Not Reported,Motor Vehicle In-Transport ,3,1,3
0,60844,Non-Collision,Rollover/Overturn,1,1,9999
1,60844,Non-Harmful Event,Ran Off Roadway - Right,2,1,9999
2,60844,Not Reported,Embankment,3,1,9999
3,60844,Non-Collision,Rollover/Overturn,4,1,9999
0,60846,12 Clock Point,Pedestrian,1,1,9999
0,60847,Left-Front Side,Pedestrian,1,1,9999
0,60849,12 Clock Point,Motor Vehicle In-Transport ,1,1,2
1,60849,Non-Harmful Event,Ran Off Roadway - Right,2,1,5555
2,60849,Right,Embankment,3,1,9999
3,60849,Non-Collision,Rollover/Overturn,4,1,9999
4,60849,Non-Collision,Fire/Explosion,5,1,9999
0,60850,12 Clock Point,Pedestrian,1,1,9999
0,60851,12 Clock Point,Other Object (not fixed),1,1,9999
1,60851,Other Objects Set-In-Motion,"Motor Vehicle In-Transport Strikes or is Struck by Cargo, Persons or Objects Set-in-Motion from/by Another Motor Vehicle In Transport",2,1,2
2,60851,Non-Collision,Rollover/Overturn,3,2,9999
3,60851,Non-Collision,Rollover/Overturn,4,3,9999
0,60851,Non-Harmful Event,Ran Off Roadway - Right,1,1,5555
1,60851,Left-Front Side,Traffic Signal Support,2,1,9999
0,60853,12 Clock Point,Motor Vehicle In-Transport ,1,1,2
1,60853,Non-Harmful Event,Ran Off Roadway - Right,2,2,5555
2,60853,Undercarriage,Curb,3,2,9999
3,60853,Non-Collision,Rollover/Overturn,4,2,9999
4,60853,Top,Utility Pole/Light Support,5,2,9999
0,60853,Non-Harmful Event,Ran Off Roadway - Left,1,1,9999
1,60853,Non-Harmful Event,Cross Median,2,1,9999
2,60853,Non-Collision,Rollover/Overturn,3,1,9999
3,60853,Top,Motor Vehicle In-Transport ,4,1,2
4,60853,Non-Collision,Rollover/Overturn,5,1,9999
5,60853,Top,Motor Vehicle In-Transport ,6,1,3
6,60853,Non-Collision,Rollover/Overturn,7,3,9999
0,60854,12 Clock Point,Pedestrian,1,1,9999
0,60855,Non-Harmful Event,Ran Off Roadway - Left,1,1,5555
1,60855,Non-Harmful Event,Ran Off Roadway - Right,2,1,5555
2,60855,Not Reported,Mail Box,3,1,9999
3,60855,Not Reported,Fence,4,1,9999
4,60855,Not Reported,Tree (Standing Only),5,1,9999
5,60855,Not Reported,Fence,6,1,9999
0,60861,Non-Harmful Event,Ran Off Roadway - Right,1,1,5555
1,60861,Undercarriage,Curb,2,1,9999
2,60861,Non-Collision,Rollover/Overturn,3,1,9999
0,60864,12 Clock Point,Motor Vehicle In-Transport ,1,2,1
1,60864,Non-Harmful Event,Ran Off Roadway - Right,2,1,5555
2,60864,Not Reported,Curb,3,1,9999
3,60864,Not Reported,Curb,4,1,9999
4,60864,Not Reported,Traffic Sign Support ,5,1,9999
0,60865,12 Clock Point,Motor Vehicle In-Transport ,1,1,2
1,60865,Other Objects Set-In-Motion,"Motor Vehicle In-Transport Strikes or is Struck by Cargo, Persons or Objects Set-in-Motion from/by Another Motor Vehicle In Transport",2,1,2
0,60865,12 Clock Point,Pedestrian,1,1,9999
0,60866,Unknown,Pedestrian,1,1,9999
0,60866,Non-Harmful Event,Cross Centerline,1,1,5555
1,60866,12 Clock Point,Motor Vehicle In-Transport ,2,1,2
0,60868,Non-Harmful Event,Ran Off Roadway - Right,1,1,5555
1,60868,12 Clock Point,Embankment,2,1,9999
2,60868,Non-Collision,Rollover/Overturn,3,1,9999
3,60868,Not Reported,Fence,4,1,9999
4,60868,Not Reported,Pedalcyclist,5,1,9999
5,60868,Not Reported,Pedalcyclist,6,1,9999
0,60872,Non-Harmful Event,Ran Off Roadway - Right,1,1,5555
1,60872,12 Clock Point,Fence,2,1,9999
2,60872,Not Reported,Pedestrian,3,1,9999
0,60873,Non-Harmful Event,"Equipment Failure (blown tire, brake failure, etc)",1,1,9999
1,60873,1 Clock Point,Motor Vehicle In-Transport ,2,1,2
2,60873,Non-Harmful Event,Ran Off Roadway - Right,3,1,9999
3,60873,Undercarriage,Curb,4,1,9999
4,60873,Undercarriage,Curb,5,1,9999
5,60873,Non-Collision,Rollover/Overturn,6,1,9999
6,60873,Not Reported,Traffic Sign Support ,7,1,9999
0,60884,Non-Harmful Event,Ran Off Roadway - Right,1,1,5555
1,60884,Right,Concrete Traffic Barrier,2,1,9999
2,60884,Non-Harmful Event,Re-entering Roadway,3,1,5555
3,60884,Non-Harmful Event,Ran Off Roadway - Left,4,1,5555
4,60884,Left,Concrete Traffic Barrier,5,1,9999
5,60884,Non-Harmful Event,Re-entering Roadway,6,1,5555
6,60884,Non-Harmful Event,Ran Off Roadway - Right,7,1,5555
7,60884,Right,Guardrail Face,8,1,9999
8,60884,Right,Guardrail Face,9,1,9999
0,60885,Non-Harmful Event,Ran Off Roadway - Right,1,1,5555
1,60885,Not Reported,Guardrail Face,2,1,9999
2,60885,Not Reported,Traffic Sign Support ,3,1,9999
3,60885,Not Reported,Traffic Sign Support ,4,1,9999
4,60885,Non-Collision,Rollover/Overturn,5,1,9999
0,60886,11 Clock Point,Pedestrian,1,1,9999
0,60886,Non-Harmful Event,Ran Off Roadway - Right,1,1,5555
1,60886,12 Clock Point,Boulder,2,1,9999
2,60886,Non-Collision,Fell/Jumped from Vehicle,3,1,9999
3,60886,Non-Collision,Rollover/Overturn,4,1,9999
0,60888,12 Clock Point,Motor Vehicle In-Transport ,1,1,2
1,60888,Other Objects Set-In-Motion,"Motor Vehicle In-Transport Strikes or is Struck by Cargo, Persons or Objects Set-in-Motion from/by Another Motor Vehicle In Transport",2,1,3
0,60888,Non-Collision,Rollover/Overturn,1,1,9999
1,60888,Not Reported,Culvert,2,1,9999
2,60888,Non-Collision,Rollover/Overturn,3,1,9999
0,60889,12 Clock Point,Motor Vehicle In-Transport ,1,1,2
1,60889,Other Objects Set-In-Motion,"Motor Vehicle In-Transport Strikes or is Struck by Cargo, Persons or Objects Set-in-Motion from/by Another Motor Vehicle In Transport",2,1,3
0,60890,12 Clock Point,Motor Vehicle In-Transport ,1,1,2
0,60891,10 Clock Point,Pedalcyclist,1,1,9999
0,60892,12 Clock Point,Pedestrian,1,1,9999
0,60893,Non-Harmful Event,Ran Off Roadway - Right,1,1,5555
1,60893,Right,Guardrail Face,2,1,9999
2,60893,Non-Collision,Rollover/Overturn,3,1,9999
3,60893,11 Clock Point,Traffic Sign Support ,4,1,9999
0,60895,Non-Harmful Event,Ran Off Roadway - Left,1,1,9999
1,60895,12 Clock Point,Traffic Sign Support ,2,1,9999
2,60895,Undercarriage,Curb,3,1,9999
3,60895,Non-Harmful Event,Vehicle Went Airborne,4,1,9999
0,60896,Non-Harmful Event,Ran Off Roadway - Right,1,1,5555
1,60896,Undercarriage,Boulder,2,1,9999
2,60896,Not Reported,Embankment,3,1,9999
0,60897,12 Clock Point,Motor Vehicle In-Transport ,1,1,2
0,60899,1 Clock Point,Motor Vehicle In-Transport ,1,1,2
1,60899,Non-Collision,Rollover/Overturn,2,2,9999
2,60899,Other Objects Set-In-Motion,Traffic Sign Support ,3,2,9999
0,60902,Not Reported,Guardrail Face,1,1,9999
1,60902,Non-Harmful Event,Vehicle Went Airborne,2,1,5555
2,60902,Non-Collision,Rollover/Overturn,3,1,9999
3,60902,Not Reported,Fence,4,1,9999
0,60907,Undercarriage,Pedestrian,1,1,9999
0,60907,12 Clock Point,Pedestrian,1,1,9999
0,60908,Non-Harmful Event,Ran Off Roadway - Left,1,1,5555
1,60908,12 Clock Point,Shrubbery,2,1,9999
2,60908,12 Clock Point,Boulder,3,1,9999
3,60908,Non-Collision,Rollover/Overturn,4,1,9999
0,60908,Non-Harmful Event,Cross Centerline,1,1,5555
1,60908,Non-Harmful Event,End Departure,2,1,9999
2,60908,12 Clock Point,Curb,3,1,9999
3,60908,12 Clock Point,Pedestrian,4,1,9999
4,60908,12 Clock Point,Other Fixed Object,5,1,9999
5,60908,12 Clock Point,Tree (Standing Only),6,1,9999
6,60908,12 Clock Point,Tree (Standing Only),7,1,9999
7,60908,1 Clock Point,Fence,8,1,9999
8,60908,Undercarriage,Tree (Standing Only),9,1,9999
0,60912,12 Clock Point,Motor Vehicle In-Transport ,1,1,2
0,60915,Unknown,Pedestrian,1,1,9999
0,60915,12 Clock Point,Motor Vehicle In-Transport ,1,1,2
0,60916,11 Clock Point,Pedestrian,1,1,9999
0,60917,Non-Harmful Event,Ran Off Roadway - Right,1,1,5555
1,60917,Undercarriage,Curb,2,1,9999
2,60917,Non-Collision,Rollover/Overturn,3,1,9999
3,60917,Not Reported,Shrubbery,4,1,9999
4,60917,Not Reported,Tree (Standing Only),5,1,9999
5,60917,Not Reported,Fence,6,1,9999
0,60918,Non-Harmful Event,Ran Off Roadway - Right,1,1,5555
1,60918,Non-Harmful Event,Re-entering Roadway,2,1,5555
2,60918,Non-Harmful Event,Cross Centerline,3,1,5555
3,60918,Non-Harmful Event,Ran Off Roadway - Left,4,1,5555
4,60918,Left,Curb,5,1,9999
5,60918,Left,Tree (Standing Only),6,1,9999
0,60919,Non-Harmful Event,Ran Off Roadway - Right,1,1,5555
1,60919,Non-Collision,Rollover/Overturn,2,1,9999
2,60919,Not Reported,Wall,3,1,9999
3,60919,Not Reported,"Other Post, Other Pole or Other Supports",4,1,9999
0,60920,12 Clock Point,Pedestrian,1,1,9999
0,60921,Non-Harmful Event,Ran Off Roadway - Left,1,1,5555
1,60921,Non-Harmful Event,Re-entering Roadway,2,1,5555
2,60921,Non-Collision,Rollover/Overturn,3,1,9999
0,60921,Non-Harmful Event,Ran Off Roadway - Right,1,1,5555
1,60921,12 Clock Point,Shrubbery,2,1,9999
2,60921,12 Clock Point,Tree (Standing Only),3,1,9999
0,60923,12 Clock Point,Other Object (not fixed),1,1,9999
1,60923,12 Clock Point,Other Object (not fixed),2,2,9999
2,60923,12 Clock Point,Motor Vehicle In-Transport ,3,2,1
3,60923,Non-Harmful Event,Ran Off Roadway - Right,4,1,9999
4,60923,Right,Concrete Traffic Barrier,5,1,9999
5,60923,Non-Harmful Event,Ran Off Roadway - Left,6,1,9999
6,60923,Left,Concrete Traffic Barrier,7,1,9999
7,60923,Non-Collision,Rollover/Overturn,8,1,9999
0,60923,Left-Front Side,Motor Vehicle In-Transport ,1,1,2
1,60923,Non-Harmful Event,Ran Off Roadway - Left,2,1,5555
2,60923,Not Reported,Curb,3,1,9999
3,60923,12 Clock Point,Tree (Standing Only),4,1,9999
4,60923,Not Reported,Tree (Standing Only),5,1,9999
0,60928,12 Clock Point,Motor Vehicle In-Transport ,1,2,1
1,60928,Other Objects Set-In-Motion,Parked Motor Vehicle ,2,2,3
0,60929,12 Clock Point,Pedestrian,1,1,9999
0,60931,Non-Harmful Event,Ran Off Roadway - Left,1,1,5555
1,60931,Not Reported,Curb,2,1,9999
2,60931,Non-Harmful Event,Cross Centerline,3,1,5555
3,60931,Non-Harmful Event,Ran Off Roadway - Left,4,1,5555
4,60931,Not Reported,"Other Post, Other Pole or Other Supports",5,1,9999
5,60931,Non-Collision,Rollover/Overturn,6,1,9999
6,60931,9 Clock Point,Utility Pole/Light Support,7,1,9999
0,60932,12 Clock Point,Motor Vehicle In-Transport ,1,2,1
1,60932,6 Clock Point,Motor Vehicle In-Transport ,2,1,3
0,60933,Non-Harmful Event,Cross Centerline,1,1,5555
1,60933,Non-Collision,Rollover/Overturn,2,1,9999
2,60933,Not Reported,Motor Vehicle In-Transport ,3,1,2
0,60934,12 Clock Point,Pedestrian,1,1,9999
0,60938,12 Clock Point,Motor Vehicle In-Transport ,1,1,2
1,60938,Non-Harmful Event,Ran Off Roadway - Right,2,1,5555
2,60938,Not Reported,Concrete Traffic Barrier,3,1,9999
0,60941,Non-Harmful Event,Ran Off Roadway - Right,1,1,5555
1,60941,12 Clock Point,Boulder,2,1,9999
0,60953,Non-Harmful Event,Cross Centerline,1,1,5555
1,60953,Non-Harmful Event,Re-entering Roadway,2,1,5555
2,60953,Non-Harmful Event,Ran Off Roadway - Right,3,1,5555
3,60953,12 Clock Point,Parked Motor Vehicle ,4,1,2
4,60953,Non-Collision,Fire/Explosion,5,1,9999
0,60955,Non-Harmful Event,Ran Off Roadway - Right,1,1,5555
1,60955,Not Reported,Impact Attenuator/Crash Cushion,2,1,9999
2,60955,Cargo/Vehicle Parts Set-In-Motion,Impact Attenuator/Crash Cushion,3,1,9999
0,60957,Not Reported,Non-Motorist on Personal Conveyance,1,1,9999
0,60958,12 Clock Point,Motor Vehicle In-Transport ,1,1,2
1,60958,Non-Harmful Event,Ran Off Roadway - Left,2,2,5555
2,60958,Right-Back Side,Traffic Signal Support,3,2,9999
3,60958,Not Reported,Wall,4,2,9999
4,60958,Non-Collision,Rollover/Overturn,5,1,9999
5,60958,Other Objects Set-In-Motion,Parked Motor Vehicle ,6,1,3
6,60958,Other Objects Set-In-Motion,Parked Motor Vehicle ,7,1,4
0,60960,Non-Harmful Event,Ran Off Roadway - Left,1,1,5555
1,60960,Undercarriage,Curb,2,1,9999
2,60960,Not Reported,Guardrail Face,3,1,9999
3,60960,Not Reported,Guardrail Face,4,1,9999
4,60960,Not Reported,Tree (Standing Only),5,1,9999
5,60960,12 Clock Point,Embankment,6,1,9999
6,60960,Non-Collision,Rollover/Overturn,7,1,9999
0,60961,12 Clock Point,Pedestrian,1,1,9999
0,60962,Right-Back Half,Pedalcyclist,1,1,9999
0,60962,Non-Harmful Event,Ran Off Roadway - Right,1,1,5555
1,60962,Not Reported,Curb,2,1,9999
2,60962,Other Objects Set-In-Motion,Wall,3,1,9999
0,60963,Non-Harmful Event,Cross Median,1,1,5555
